source,protein,compound,folder,ligand_smiles,exp_dG (kcal/mol),fep_dG (kcal/mol),fep_dG_std (kcal/mol),boltz_dG (kcal/mol),boltz_dG_std (kcal/mol)
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(SC([H])([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.0178,-11.0626,1.04486097889466,-6.342006512761117,1.0859477729481397
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-13.6356,-14.4916,0.8559903417174513,-5.9747172288894665,0.905676802011495
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-6.8178,-5.9657,0.8520824564733672,-7.65353193966796,0.6197955245481839
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(C(=O)N([H])[H])c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.6285,-9.4368,0.8083712747389147,-8.314165444970131,0.6157679292165108
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OC([H])([H])[H],-8.0734,-8.8785,0.8050833097290556,-8.035766117823622,0.3389044095336715
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-6.6624,-7.4166,0.7542070585829788,-6.380505784988404,0.23238140528678758
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C([H])([H])[H])c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.5518,-9.1077,0.5559104883222276,-7.195119540631772,0.537170178069939
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C(=O)N([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.6412,-8.0901,0.5511451081074641,-6.711980340143046,0.9456142191732552
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-9.9554,-10.488,0.5326021562595218,-6.903851247946423,0.47013640581353605
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-9.437,-9.9531,0.5161366674459495,-8.408613122512897,0.43644773316475505
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-10.3426,-9.8346,0.5080610398648274,-8.302936736589919,0.23123785557578583
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(C#N)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.8749,-9.1937,0.3187636811734625,-7.772225477387508,0.2933153157364477
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-12.5745,-12.836,0.2614449183645839,-5.8400684413115185,1.5620673261941733
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(Cl)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-9.1056,-8.9292,0.1763910459375357,-8.198000111987193,0.5397079386913652
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-11.6215,-11.7432,0.1217709913444539,-6.026144036213556,1.2086585859916792
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-6.5212,-6.6255,0.1042765768944983,-8.127981850933285,0.1040790073412072
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])C([H])([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.0734,-11.1671,3.093713604751517,-7.756206071933112,1.068039864455186
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.1814,-11.0397,2.858353611482471,-7.275991164048513,0.13251485273501018
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.0875,-7.4076,2.679942819675917,-6.969578244884809,0.07346858365343524
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-10.39,-12.9259,2.5358861485454103,-5.860804966251056,1.146185103225836
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-13.2251,-10.857,2.368098211410445,-6.143562094966572,0.94284913069824
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])OC([H])([H])[H],-8.6542,-10.7019,2.0477037951793715,-7.462681790122141,0.8075637858866708
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.9709,-9.3899,1.580932614305716,-6.640958368579547,0.4295452129649741
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C(=O)N([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.6412,-7.1489,1.4923460381577558,-6.7926573566993085,0.825711930147522
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(SC([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.0036,-9.4579,1.4543038550413745,-7.268540740936996,0.5718372984637612
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])C([H])([H])[H],-8.5918,-7.2736,1.3182729622720892,-7.241516772806644,0.32429750305506316
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(Cl)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-9.1056,-7.8654,1.240177540025167,-7.962792030913135,0.3133051961188033
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])C([H])([H])[H],-9.8474,-8.6145,1.2328868696115067,-7.571711058179538,0.812927436832761
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C#N)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.8749,-7.7324,1.1425146066042422,-7.216966017087302,0.32388852592671624
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-9.437,-8.3517,1.0852525640489843,-8.419941520415247,0.3526549607789864
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(SC([H])([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.0178,-11.0463,1.0284640248614911,-6.199084060986837,0.9278137193419257
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-6.5212,-5.5304,0.9908435923303685,-8.085053186758111,0.05969693595788646
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-13.6356,-14.3438,0.7081558640553081,-5.909234337409338,0.984231843318009
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C([H])([H])[H])c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.5518,-9.2312,0.6794077736802003,-7.275314477701983,0.48449593700364474
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-9.9554,-10.311,0.35558733256208,-7.009246120333672,0.3638675898964252
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(C(=O)N([H])[H])c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.6285,-8.982,0.3535159901939817,-8.258074881931146,0.5688705856849733
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-12.5745,-12.2438,0.3307443242706144,-6.010449274758497,1.5500181698946054
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-11.6215,-11.9295,0.3080766653311487,-6.090875939249994,1.1510608101614725
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(C#N)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.8749,-9.1382,0.2632351028996364,-7.8296766505787785,0.2722674898450953
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])=C([H])[H],-9.5449,-9.3573,0.187647701218994,-6.377685652176539,1.011812446376521
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-10.3426,-10.1825,0.1601543700362205,-8.170263289692501,0.18284646197942273
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OC([H])([H])[H],-8.0734,-8.1859,0.1125025584429906,-7.704734601287793,0.4775132041256855
ChEMBL,ADK,CHEMBL643547,ChEMBL|ADK|CHEMBL643547,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(=S)n([H])c([H])nc32)O[C@]1([H])C([H])([H])[H],-7.0729,-7.0838,0.0109078869410144,-6.095701503753663,1.067339635774358
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])=C([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])c(F)c21,-6.8364,-8.7193,1.8828308182514069,-9.732157656351726,0.4113966650499471
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])c(F)c32)[C@]1([H])O[H],-8.0621,-9.9402,1.878093784045537,-9.310350860108931,1.0313265037992252
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])c(C([H])([H])[H])c21,-9.0364,-7.3362,1.7001841024576467,-9.189590971887112,0.3445253266625395
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])=C(F)[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])c(F)c21,-8.1957,-9.8224,1.6266237879692336,-9.873974946578345,0.9130008529442121
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])c(Cl)c21,-10.6302,-9.033,1.5971610366851454,-10.730399902184805,0.45599484748273084
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,-9.899,-8.3837,1.5152503707864258,-9.913185837368172,1.1750712649530772
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])c(F)c32)C([H])([H])[C@]1([H])F,-8.9589,-10.2746,1.3156717234300863,-9.447254635373753,0.16497312182281368
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@@]1([H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])c(F)c32)[C@]([H])(F)C([H])([H])[C@]1([H])O[H],-8.6477,-9.9122,1.2645286480314677,-10.614821150620779,0.5553825749674097
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc(F)nc21,-7.7353,-6.5028,1.2324896569960633,-9.223916864371548,1.0735414098700347
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc(F)c(F)c21,-7.4156,-6.466,0.949597065233436,-9.367713383316994,0.5415854012300925
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])c(F)c21,-10.0875,-9.1864,0.9011377362037456,-10.773806256453197,0.4533100246024752
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]O[C@]1([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]1([H])n1c([H])nc2c(N([H])[H])nc(F)c([H])c21,-7.2491,-6.4436,0.8055649078510995,-9.70680353418986,0.3101475684286018
ChEMBL,AHCY,CHEMBL3294635,ChEMBL|AHCY|CHEMBL3294635,[H]OC([H])([H])[C@]1([H])C([H])([H])[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@@]1([H])O[H],-8.8884,-9.4704,0.581989373252985,-9.603664228757223,0.4753145288514082
